Rho	T	coordinate	section	type	//
6.215452E-13	1.001147E+06	9.450000E+06	1.000000E+00	0.000000E+00
6.202764E-13	1.002377E+06	9.500000E+06	1.000000E+00	0.000000E+00
6.190280E-13	1.003587E+06	9.550000E+06	1.000000E+00	0.000000E+00
6.177984E-13	1.004780E+06	9.600000E+06	1.000000E+00	0.000000E+00
6.165859E-13	1.005956E+06	9.650000E+06	1.000000E+00	0.000000E+00
6.153892E-13	1.007119E+06	9.700000E+06	1.000000E+00	0.000000E+00
6.142065E-13	1.008269E+06	9.750000E+06	1.000000E+00	0.000000E+00
6.130365E-13	1.009408E+06	9.800000E+06	1.000000E+00	0.000000E+00
6.118773E-13	1.010539E+06	9.850000E+06	1.000000E+00	0.000000E+00
6.107277E-13	1.011663E+06	9.900000E+06	1.000000E+00	0.000000E+00
6.095859E-13	1.012782E+06	9.950000E+06	1.000000E+00	0.000000E+00
6.084504E-13	1.013899E+06	1.000000E+07	1.000000E+00	0.000000E+00
6.073196E-13	1.015014E+06	1.005000E+07	1.000000E+00	0.000000E+00
6.061921E-13	1.016130E+06	1.010000E+07	1.000000E+00	0.000000E+00
6.050662E-13	1.017248E+06	1.015000E+07	1.000000E+00	0.000000E+00
6.039403E-13	1.018371E+06	1.020000E+07	1.000000E+00	0.000000E+00
6.028130E-13	1.019500E+06	1.025000E+07	1.000000E+00	0.000000E+00
6.016922E-13	1.020626E+06	1.030000E+07	1.000000E+00	0.000000E+00
6.005872E-13	1.021737E+06	1.035000E+07	1.000000E+00	0.000000E+00
5.994977E-13	1.022835E+06	1.040000E+07	1.000000E+00	0.000000E+00
5.984240E-13	1.023918E+06	1.045000E+07	1.000000E+00	0.000000E+00
5.973659E-13	1.024987E+06	1.050000E+07	1.000000E+00	0.000000E+00
5.963235E-13	1.026042E+06	1.055000E+07	1.000000E+00	0.000000E+00
5.952967E-13	1.027083E+06	1.060000E+07	1.000000E+00	0.000000E+00
5.942856E-13	1.028109E+06	1.065000E+07	1.000000E+00	0.000000E+00
5.932902E-13	1.029121E+06	1.070000E+07	1.000000E+00	0.000000E+00
5.923105E-13	1.030119E+06	1.075000E+07	1.000000E+00	0.000000E+00
5.913464E-13	1.031103E+06	1.080000E+07	1.000000E+00	0.000000E+00
5.903980E-13	1.032072E+06	1.085000E+07	1.000000E+00	0.000000E+00
5.894652E-13	1.033028E+06	1.090000E+07	1.000000E+00	0.000000E+00
5.885481E-13	1.033969E+06	1.095000E+07	1.000000E+00	0.000000E+00
5.876467E-13	1.034896E+06	1.100000E+07	1.000000E+00	0.000000E+00
5.867609E-13	1.035809E+06	1.105000E+07	1.000000E+00	0.000000E+00
5.858909E-13	1.036707E+06	1.110000E+07	1.000000E+00	0.000000E+00
5.850364E-13	1.037592E+06	1.115000E+07	1.000000E+00	0.000000E+00
5.841977E-13	1.038462E+06	1.120000E+07	1.000000E+00	0.000000E+00
5.833746E-13	1.039318E+06	1.125000E+07	1.000000E+00	0.000000E+00
5.825672E-13	1.040160E+06	1.130000E+07	1.000000E+00	0.000000E+00
5.817754E-13	1.040987E+06	1.135000E+07	1.000000E+00	0.000000E+00
5.809993E-13	1.041800E+06	1.140000E+07	1.000000E+00	0.000000E+00
5.802389E-13	1.042600E+06	1.145000E+07	1.000000E+00	0.000000E+00
5.794941E-13	1.043384E+06	1.150000E+07	1.000000E+00	0.000000E+00
5.787651E-13	1.044155E+06	1.155000E+07	1.000000E+00	0.000000E+00
5.780516E-13	1.044912E+06	1.160000E+07	1.000000E+00	0.000000E+00
5.773539E-13	1.045654E+06	1.165000E+07	1.000000E+00	0.000000E+00
5.766718E-13	1.046382E+06	1.170000E+07	1.000000E+00	0.000000E+00
5.760054E-13	1.047096E+06	1.175000E+07	1.000000E+00	0.000000E+00
5.753546E-13	1.047796E+06	1.180000E+07	1.000000E+00	0.000000E+00
5.747195E-13	1.048481E+06	1.185000E+07	1.000000E+00	0.000000E+00
5.741001E-13	1.049152E+06	1.190000E+07	1.000000E+00	0.000000E+00
